full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/Library/Ossec/ruleset/sca/cis_apple_macOS_13.x.yml,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-control,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-logcollector,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-execd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-syscheckd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/manage_agents,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/agent-auth,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-agentd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/shieldnet-defend-modulesd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_pixconfig_diff,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_integrity_check_bsd,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_generic_diff,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_integrity_check_linux,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_asa-fwsmconfig_diff,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/main.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_nopass.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_foundry_diff,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/register_host.sh,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/sshlogin.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/agentless/su.exp,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/etc/internal_options.conf,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/wpk_root.pem,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/localtime,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/ossec.conf,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/local_internal_options.conf,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/client.keys,root,shieldnetdefend,640,file,-rw-r-----,,
/Library/Ossec/etc/shared/cis_win2012r2_memberL1_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/win_audit_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/rootkit_trojans.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_win2012r2_domainL1_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_rhel6_linux_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_win2012r2_memberL2_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_apache2224_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/win_applications_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_win2012r2_domainL2_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_rhel5_linux_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_debian_linux_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/system_audit_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/win_malware_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_rhel7_linux_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_mysql5-6_enterprise_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/system_audit_ssh.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_mysql5-6_community_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_sles12_linux_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_rhel_linux_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/rootkit_files.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_sles11_linux_rcl.txt,root,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/logs/ossec.log,shieldnetdefend,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/logs/ossec.json,shieldnetdefend,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/logs/active-responses.log,shieldnetdefend,shieldnetdefend,660,file,-rw-rw----,,
/Library/Ossec/queue/syscollector/norm_config.json,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/lib/libfimdb.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libshieldnetdefendshared.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libsysinfo.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libdbsync.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/librsync.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libsyscollector.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libshieldnetdefendext.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/VERSION.json,shieldnetdefend,shieldnetdefend,440,file,-r--r-----,,
/Library/Ossec/wodles/__init__.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/utils.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/gcloud,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/tools.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/integration.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/exceptions.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/buckets/bucket.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/buckets/access_logs.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/pubsub/subscriber.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/docker/DockerListener,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_utils.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure-logs,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_services/graph.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_services/__init__.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_services/storage.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_services/analytics.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/db/orm.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/db/__init__.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/db/utils.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/aws-s3,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/shieldnet_defend_integration.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/__init__.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/aws_tools.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/cloudtrail.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/config.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/waf.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/guardduty.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/server_access.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/aws_bucket.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/__init__.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/umbrella.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/vpcflow.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/load_balancers.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/sqs_message_processor.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/s3_log_handler.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/__init__.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/sqs_queue.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/cloudwatchlogs.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/inspector.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/__init__.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/aws_service.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/restart.sh,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/firewall-drop,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/host-deny,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/firewalld-drop,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/kaspersky.py,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/default-firewall-drop,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/npf,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/pf,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/ip-customblock,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/ipfw,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/route-null,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/restart-shieldnet-defend,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/shieldnet-defend-slack,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/kaspersky,root,shieldnetdefend,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/disable-account,root,shieldnetdefend,750,file,-rwxr-x---,,
